id,company,last_name,first_name,phone,address,city_and_state,postal_code,country
205,Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,Pasadena CA,90003,USA
206,Asian Shopping Network Co,Walker,Brydey,+612 9411 1555,Suntec Tower Three,Singapore,38988,Singapore
209,Mini Caravy,Citeaux,Frdrique ,88.60.1555,24  place Klber,Strasbourg,67000,France
211,King Kong Collectables Co.,Gao,Mike,+852 2251 1555,Bank of China Tower,1 Garden Road,Central Hong Kong,Hong Kong
216,Enaco Distributors,Saavedra,Eduardo ,(93) 203 4555,Rambla de Catalua,Barcelona,8022,Spain
219,Boards & Toys Co.,Young,Mary,3105552373,4097 Douglas Av.,Glendale CA,92561,USA
223,Naturlich Autos,Kloss,Horst ,0372-555188,Taucherstra�e 10,Cunewalde,1307,Germany
227,Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,rhus,8200,Denmark
233,Quebec Home Shopping Network,Fresni�re,Jean ,(514) 555-8054,43 rue St. Laurent,Montral QC,H1J 1C3,Canada
237,ANG Resellers,Camino,Alejandra ,(91) 745 6555,Gran V�a,Madrid,28001,Spain
239,Collectable Mini Designs Co.,Thompson,Valarie,7605558146,361 Furth Circle,San Diego CA,91217,USA
240,giftsbymail.co.uk,Bennett,Helen ,(198) 555-8888,Garden House Crowther Way 23,Cowes Isle of Wight,PO31 7PJ,UK
242,Alpha Cognac,Roulet,Annette ,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,France
247,Messner Shopping Network,Messner,Renate ,069-0555984,Magazinweg 7,Frankfurt,60528,Germany
249,Amica Models & Co.,Accorti,Paolo ,011-4988555,Via Monte Bianco 34,Torino,10100,Italy
250,Lyon Souveniers,Da Silva,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France
256,Auto Associ�s & Cie.,Tonini,Daniel ,30.59.8555,67 avenue de l'Europe,Versailles,78000,France
259,Toms Spezialit�ten,Pfalzheim,Henriette ,0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany
260,Royal Canadian Collectables,Lincoln,Elizabeth ,(604) 555-4555,23 Tsawassen Blvd.,Tsawassen BC,T2F 8M4,Canada
273,Franken Gifts Co,Franken,Peter ,089-0877555,Berliner Platz 43,Munchen,80805,Germany
276,Anna's Decorations,O'Hara,Anna,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy
282,Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,815 Pacific Hwy,Chatswood NSW,2067,Australia
286,Marta's Replicas Co.,Hernandez,Marta,6175558555,39323 Spinnaker Dr.,Cambridge MA,51247,USA
293,BG&E Collectables,Harrison,Ed,+41 26 425 50 01,Rte des Arsenaux 41 ,Fribourg,1700,Switzerland
298,Vida Sport,Holz,Mihael,0897-034555,Grenzacherweg 237,Geneve,1203,Switzerland
299,Norway Gifts By Mail Co.,Klaeboe,Jan,+47 2212 1555,Drammensveien 126A,Oslo,106,Norway  
303,Schuyler Imports,Schuyler,Bradley,+31 20 491 9555,Kingsfordweg 151,Amsterdam,1043 GR,Netherlands
307,Der Hund Imports,Andersen,Mel,030-0074555,Obere Str. 57,Berlin,12209,Germany
311,Oulu Toy Supplies,Koskitalo,Pirkko,981-443655,Torikatu 38,Oulu,90110,Finland
314,Petit Auto,Dewey,Catherine ,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium
319,Mini Classics,Frick,Steve,9145554562,3758 North Pendale Street,White Plains NY,24067,USA
320,Mini Creations Ltd.,Huang,Wing,5085559555,4575 Hillside Dr.,New Bedford MA,50553,USA
321,Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,San Francisco CA,94217,USA
323,Down Under Souveniers,Graham,Mike,+64 9 312 5555,162-164 Grafton Road,Auckland,849485,New Zealand
324,Stylish Desk Decors Co.,Brown,Ann ,(171) 555-0297,35 King George,London,WX3 6FW,UK
328,Tekni Collectables Inc.,Brown,William,2015559350,7476 Moss Rd.,Newark NJ,94019,USA
333,Australian Gift Network Co,Calaghan,Ben,61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia
334,Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,Software Engineering Center,Espoo,FIN-02271,Finland
335,Cramer Spezialit�ten,Cramer,Philip ,0555-09555,Maubelstr. 90,Brandenburg,14776,Germany
339,Classic Gift Ideas,Cervantes,Francisca,2155554695,782 First Street,Philadelphia PA,71270,USA
344,CAF Imports,Fernandez,Jesus,+34 913 728 555,27-30 Merchant's Quay,Madrid,28023,Spain
347,Men 'R' US Retailers,Chandler,Brian,2155554369,6047 Douglas Av.,Los Angeles CA,91003,USA
348,Asian Treasures,McKenna,Patricia ,2967 555,8 Johnstown Road,Cork,484940,Ireland
350,Marseille Mini Autos,Lebihan,Laurence ,91.24.4555,12  rue des Bouchers,Marseille,13008,France
353,Reims Collectables,Henriot,Paul ,26.47.1555,59 rue de l'Abbaye,Reims,51100,France
356,SAR Distributors Co,Kuger,Armand,+27 21 550 3555,1250 Pretorius Street,Hatfield Pretoria,28,South Africa
357,GiftsForHim.com,MacKinlay,Wales,64-9-3763555,199 Great North Road,Auckland,12563,New Zealand
361,Kommission Auto,Josephs,Karin,0251-555259,Luisenstr. 48,Munster,44087,Germany
362,Gifts4AllAges.com,Yoshido,Juri,6175559555,8616 Spinnaker Dr.,Boston MA,51003,USA
363,Online Diecast Creations Co.,Young,Dorothy,6035558647,2304 Long Airport Avenue,Nashua NH,62005,USA
369,Lisboa Souveniers,Rodriguez,Lino ,(1) 354-2555,Jardim das rosas n. 32,Lisboa,3533,Portugal
376,Precious Collectables,Urs,Braun,0452-076555,Hauptstr. 29,Bern,3012,Switzerland
379,Collectables For Less Inc.,Nelson,Allen,6175558555,7825 Douglas Av.,Brickhaven MA,58339,USA
381,Royale Belge,Cartrain,Pascale ,(071) 23 67 2555,Boulevard Tirou,Charleroi,B-6000,Belgium
382,Salzburg Collectables,Pipps,Georg ,6562-9555,Geislweg 14,Salzburg,5020,Austria
385,Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street,Makati City,1227 MM,Philippines
386,L'ordine Souveniers,Moroni,Maurizio ,0522-556555,Strada Provinciale 124,Reggio Emilia,15645,Italy
398,Tokyo Collectables, Ltd,Shimamura,Akiko,+81 3 3584 0555,Tokyo,106-0032,Japan
406,Auto Canal+ Petit,Perrier,Dominique,(1) 47.55.6555,25  rue Lauriston,Paris,75016,France
409,Stuttgart Collectable Exchange,M�ller,Rita ,0711-555361,Adenauerallee 900,Stuttgart,4564654,Germany
412,Extreme Desk Decorations,McRoy,Sarah,04 499 9555,101 Lambton Quay,Wellington,54654,New Zealand
415,Bavarian Collectables Imports Co.,Donnermeyer,Michael, +49 89 61 08 9555,Hansastr. 15,Munich,468412,Germany
424,Classic Legends Inc.,Hernandez,Maria,2125558493,5905 Pompton St.,NYC NY,10022,USA
443,Feuer Online Stores,Feuer,Alexander ,0342-555176,Heerstr. 22,Leipzig,4956,Germany
447,Gift Ideas Corp.,Lewis,Dan,2035554407,2440 Pompton St.,Glendale CT,97561,USA
448,Scandinavian Gift Ideas,Larsson,Martha,0695-34 6555,Kergatan 24,Stockholm,465489,Sweden
450,The Sharp Gifts Warehouse,Frick,Sue,4085553659,3086 Ingle Ln.,San Jose CA,94217,USA
452,Mini Auto Werke,Mendel,Roland ,7675-3555,Kirchgasse 6,Graz,8010,Austria
455,Super Scale Inc.,Murphy,Leslie,2035559545,567 North Pendale Street,New Haven CT,97823,USA
456,Microscale Inc.,Choi,Yu,2125551957,5290 North Pendale Street,NYC NY,10022,USA
458,Corrida Auto Replicas,Sommer,Mart�n ,(91) 555 22 82,C/ Araquil, Madrid,28461,Spain
459,Warburg Exchange,Ottlieb,Sven ,0241-039123,Walserweg 21,Aachen,46561,Germany
462,FunGiftIdeas.com,Benitez,Violeta,5085552555,1785 First StreetNew Bedford,MA,50553,USA
465,Anton Designs,Anton,Carmen,+34 913 728555,c/ Gobelas,Madrid,28465,Spain
471,Australian Collectables,Clenahan,Sean,61-9-3844-6555,7 Allen StreetGlen Waverly,Victoria,3150,Australia
473,Frau da Collezione,Ricotti,Franco,+39 022515555,20093 Cologno Monzese,Milan,15642,Italy
475,West Coast Collectables Co.,Thompson,Steve,3105553722,3675 Furth Circle,Burbank CA,94019,USA
477,Mit Vergn�gen & Co.,Moos,Hanna ,0621-08555,Forsterstr. 57,Mannheim,68549,Germany
480,Kremlin Collectables Co.,Semenov,Alexander ,+7 812 293 0521,2 Pobedy Square,St Petersburg,19548,Russia
481,Raanan Stores,Altagar,Raanan,+ 972 9 959 8555,3 Hagalim Blv.Herzlia47625,Tel Aviv,164800,Israel
484,Iberia Gift Imports Corp.,Roel,Jos� Pedro ,(95) 555 82 82,C/ Romero,Sevilla,156454,Spain
486,Motor Mint Distributors Inc.,Salazar,Rosa,2155559857,11328 Douglas Av.,Philadelphia PA,71270,USA
487,Signal Collectibles Ltd.,Taylor,Sue,4155554312,2793 Furth CircleBrisbane,San Francisco CA,94217,USA
489,Double Decker Gift Stores,Smith,Thomas ,(171) 555-7555,120 Hanover Sq,London,156546,UK
495,Diecast Collectables,Franco,Valarie,6175552555,6251 Ingle Ln.,Boston MA,51003,USA
496,Kelly's Gift Shop,Snowden,Tony,+64 9 5555500,Arenales 1938 3,Auckland,156546,New Zealand
